cause_id,glo_bothsex,glo_male,glo_female,agegroup,year
800,381064,196833,184231,60-69 years,2019
810,41336,21762,19574,60-69 years,2019
820,56288,41959,14329,60-69 years,2019
940,168426,88087,80339,60-69 years,2019
1100,3355983,2058847,1297136,60-69 years,2019
1170,726885,449629,277256,60-69 years,2019
1210,515321,327390,187931,60-69 years,2019
1260,314905,175504,139401,60-69 years,2019
1330,14569,7614,6955,60-69 years,2019
1340,24465,9829,14636,60-69 years,2019
1400,6440,3319,3121,60-69 years,2019
1505,4,3,1,60-69 years,2019
1520,379821,250474,129347,60-69 years,2019
1600,121278,84267,37011,60-69 years,2019
0,27083203,13081464,14001739,70+ years,2019
20,1000964,438336,562628,70+ years,2019
380,1236464,597431,639033,70+ years,2019
420,0,0,0,70+ years,2019
490,50,25,25,70+ years,2019
540,120340,49721,70619,70+ years,2019
610,4254858,2412781,1842077,70+ years,2019
790,98847,50545,48302,70+ years,2019
800,784885,350952,433933,70+ years,2019
810,137434,57975,79459,70+ years,2019
820,50875,31507,19368,70+ years,2019
940,1941158,748356,1192802,70+ years,2019
1100,11460138,5259823,6200315,70+ years,2019
1170,2968620,1605613,1363007,70+ years,2019
1210,997189,481883,515306,70+ years,2019
1260,912899,442999,469900,70+ years,2019
1330,60009,23221,36788,70+ years,2019
1340,95186,33682,61504,70+ years,2019
1400,4812,2175,2637,70+ years,2019
1505,13,8,5,70+ years,2019
1520,821397,408954,412443,70+ years,2019
1600,135675,84912,50763,70+ years,2019
0,2684144,1481682,1202462,0-28 days,2015
20,114509,62827,51682,0-28 days,2015
380,164896,91341,73555,0-28 days,2015
420,0,0,0,0-28 days,2015
490,2068273,1141734,926539,0-28 days,2015
540,0,0,0,0-28 days,2015
610,488,257,231,0-28 days,2015
790,8,5,3,0-28 days,2015
800,31,22,9,0-28 days,2015
810,973,545,428,0-28 days,2015
820,0,0,0,0-28 days,2015
940,8,4,4,0-28 days,2015
1100,1015,560,455,0-28 days,2015
1170,0,0,0,0-28 days,2015
1210,883,511,372,0-28 days,2015
1260,155,95,60,0-28 days,2015
1330,0,0,0,0-28 days,2015
1340,0,0,0,0-28 days,2015
1400,298840,165124,133716,0-28 days,2015
1505,661,366,295,0-28 days,2015
1520,27783,15460,12323,0-28 days,2015
1600,5617,2829,2788,0-28 days,2015
0,3166930,1685101,1481829,1-59 months,2015
20,1483334,772270,711064,1-59 months,2015
380,702094,382634,319460,1-59 months,2015
420,0,0,0,1-59 months,2015
490,182103,101554,80549,1-59 months,2015
540,95018,50545,44473,1-59 months,2015
610,27572,15139,12433,1-59 months,2015
790,261,139,122,1-59 months,2015
800,3193,1764,1429,1-59 months,2015
810,36163,18691,17472,1-59 months,2015
820,14,14,0,1-59 months,2015
940,16624,9399,7225,1-59 months,2015
1100,30927,16092,14835,1-59 months,2015
1170,11767,5506,6261,1-59 months,2015
1210,38241,21102,17139,1-59 months,2015
1260,17644,8941,8703,1-59 months,2015
1330,4196,1517,2679,1-59 months,2015
1340,0,0,0,1-59 months,2015
1400,199109,109907,89202,1-59 months,2015
1505,33278,18723,14555,1-59 months,2015
1520,257138,137640,119498,1-59 months,2015
1600,28253,13522,14731,1-59 months,2015
0,943821,509160,434661,5-14 years,2015
20,429731,218754,210977,5-14 years,2015
380,59227,28760,30467,5-14 years,2015
420,0,0,0,5-14 years,2015
490,82,46,36,5-14 years,2015
540,13095,5526,7569,5-14 years,2015
610,42481,23669,18812,5-14 years,2015
790,735,363,372,5-14 years,2015
800,2941,1264,1677,5-14 years,2015
810,21592,11081,10511,5-14 years,2015
820,143,116,27,5-14 years,2015
940,15561,8409,7152,5-14 years,2015
1100,24209,12435,11774,5-14 years,2015
1170,8858,4209,4649,5-14 years,2015
1210,26767,14416,12351,5-14 years,2015
1260,13538,7053,6485,5-14 years,2015
1330,796,357,439,5-14 years,2015
1340,1180,396,784,5-14 years,2015
1400,32061,16118,15943,5-14 years,2015
1505,0,0,0,5-14 years,2015
1520,209928,132754,77174,5-14 years,2015
1600,40882,23425,17457,5-14 years,2015
0,2054116,1299084,755032,15-29 years,2015
20,513504,278141,235363,15-29 years,2015
380,42075,24083,17992,15-29 years,2015
420,100675,0,100675,15-29 years,2015
490,83,52,31,15-29 years,2015
540,6451,2775,3676,15-29 years,2015
610,127118,68146,58972,15-29 years,2015
790,1603,922,681,15-29 years,2015
800,12248,6324,5924,15-29 years,2015
810,19219,9978,9241,15-29 years,2015
820,34798,27071,7727,15-29 years,2015
940,30984,19258,11726,15-29 years,2015
1100,134205,85205,49000,15-29 years,2015
1170,22553,13112,9441,15-29 years,2015
1210,76806,46766,30040,15-29 years,2015
1260,39104,22484,16620,15-29 years,2015
1330,1742,970,772,15-29 years,2015
1340,5120,1198,3922,15-29 years,2015
1400,18579,10413,8166,15-29 years,2015
1505,0,0,0,15-29 years,2015
1520,466046,373583,92463,15-29 years,2015
1600,401159,308573,92586,15-29 years,2015
0,5431000,3424261,2006739,30-49 years,2015
20,1077739,645575,432164,30-49 years,2015
380,119715,74694,45021,30-49 years,2015
420,120270,0,120270,30-49 years,2015
490,60,36,24,30-49 years,2015
540,13573,6311,7262,30-49 years,2015
610,934968,461113,473855,30-49 years,2015
790,6083,3138,2945,30-49 years,2015
800,92976,51851,41125,30-49 years,2015
810,32279,16323,15956,30-49 years,2015
820,117187,93144,24043,30-49 years,2015
940,54411,32289,22122,30-49 years,2015
1100,1049839,705675,344164,30-49 years,2015
1170,120692,71599,49093,30-49 years,2015
1210,390570,285344,105226,30-49 years,2015
1260,140637,79896,60741,30-49 years,2015
1330,6432,3803,2629,30-49 years,2015
1340,12328,3483,8845,30-49 years,2015
1400,16208,8685,7523,30-49 years,2015
1505,0,0,0,30-49 years,2015
1520,682349,539909,142440,30-49 years,2015
1600,442542,341296,101246,30-49 years,2015
0,5716998,3564237,2152761,50-59 years,2015
