country,cause_id,d_bothsex,d_male,d_female,year
Bhutan,790,0,0,0,2019
Bhutan,800,200,100,100,2019
Bhutan,810,0,0,0,2019
Bhutan,820,0,0,0,2019
Bhutan,940,200,100,100,2019
Bhutan,1100,1300,800,500,2019
Bhutan,1170,600,300,300,2019
Bhutan,1210,300,200,100,2019
Bhutan,1260,200,100,100,2019
Bhutan,1330,0,0,0,2019
Bhutan,1340,0,0,0,2019
Bhutan,1400,100,0,0,2019
Bhutan,1505,0,0,0,2019
Bhutan,1520,400,200,100,2019
Bhutan,1600,100,0,0,2019
Cameroon,0,196500,106200,90300,2019
Cameroon,20,57600,29900,27700,2019
Cameroon,380,19700,11100,8700,2019
Cameroon,420,2600,0,2600,2019
Cameroon,490,20500,11600,8900,2019
Cameroon,540,1300,600,700,2019
Cameroon,610,10500,4300,6200,2019
Cameroon,790,0,0,0,2019
Cameroon,800,5500,2700,2800,2019
Cameroon,810,2500,900,1500,2019
Cameroon,820,1100,1000,100,2019
Cameroon,940,2900,1500,1400,2019
Cameroon,1100,27200,14100,13100,2019
Cameroon,1170,4400,2400,1900,2019
Cameroon,1210,7900,5000,2900,2019
Cameroon,1260,6000,3100,2900,2019
Cameroon,1330,300,200,200,2019
Cameroon,1340,200,0,100,2019
Cameroon,1400,5300,2900,2300,2019
Cameroon,1505,500,300,200,2019
Cameroon,1520,15900,11100,4800,2019
Cameroon,1600,4600,3500,1100,2019
Côte d'Ivoire,0,195200,113200,82000,2019
Côte d'Ivoire,20,53900,29400,24400,2019
Côte d'Ivoire,380,21400,12800,8500,2019
Côte d'Ivoire,420,2000,0,2000,2019
Côte d'Ivoire,490,27700,15800,11900,2019
Côte d'Ivoire,540,1100,500,600,2019
Côte d'Ivoire,610,10300,4500,5800,2019
Côte d'Ivoire,790,0,0,0,2019
Côte d'Ivoire,800,4100,2300,1800,2019
Côte d'Ivoire,810,1900,800,1100,2019
Côte d'Ivoire,820,1000,900,100,2019
Côte d'Ivoire,940,2600,1500,1100,2019
Côte d'Ivoire,1100,25900,15800,10200,2019
Côte d'Ivoire,1170,4400,2900,1500,2019
Côte d'Ivoire,1210,8100,5800,2400,2019
Côte d'Ivoire,1260,4900,3200,1700,2019
Côte d'Ivoire,1330,300,200,100,2019
Côte d'Ivoire,1340,100,0,100,2019
Côte d'Ivoire,1400,5200,3000,2200,2019
Côte d'Ivoire,1505,600,400,300,2019
Côte d'Ivoire,1520,14300,9600,4700,2019
Côte d'Ivoire,1600,5300,3700,1600,2019
Egypt,0,575300,314200,261100,2019
Egypt,20,10300,5900,4400,2019
